cluster,engaged,rate,n,avg_confidence
0,39,0.09653465346534654,404,0.9993284163595522
1,47,0.03309859154929577,1420,0.9995380590473166
2,59,0.043034281546316555,1371,0.9995659505085109
3,120,0.410958904109589,292,0.9958108573344769
4,42,0.07650273224043716,549,0.9986180992259788
5,86,0.06204906204906205,1386,0.999959856513893
6,62,0.11946050096339114,519,0.9997591272984854
7,26,0.1780821917808219,146,0.9801131743243583
8,92,0.19126819126819128,481,0.9999991737210294
9,63,0.07134767836919592,883,0.999668687402901
