message_type,channel,n_total,n_exposed,n_unexposed,exposed_rate,unexposed_rate,rate_diff,avg_exposure
informational,letter+text,373,228,145,6.578947368421052,0.6896551724137931,5.8892921960072595,2.2305630026809653
informational,letter+email+text,3908,3890,18,3.8303341902313623,0.0,3.8303341902313623,6.226458546571136
informational,letter+email,3170,3021,149,1.7212843429328037,0.6711409395973155,1.0501434033354884,2.3529968454258676
motivational_struggle,letter+text,373,346,27,4.624277456647398,0.0,4.624277456647398,1.7479892761394102
motivational_struggle,letter+email+text,3908,3898,10,3.822473063109287,0.0,3.822473063109287,12.923234390992835
motivational_struggle,letter+email,3170,3029,141,1.7167381974248928,0.7092198581560284,1.0075183392688642,9.486119873817035
personalized_qualified,letter+email+text,3908,3908,0,3.812691914022518,0.0,3.812691914022518,12.918372569089048
personalized_qualified,letter+email,3170,3170,0,1.6719242902208202,0.0,1.6719242902208202,8.645425867507887
personalized_qualified,letter+text,373,318,55,4.40251572327044,3.6363636363636362,0.7661520869068039,2.1823056300268098
relief_reassurance,letter+text,373,365,8,4.383561643835616,0.0,4.383561643835616,4.873994638069705
relief_reassurance,letter+email+text,3908,3902,6,3.8185545873910813,0.0,3.8185545873910813,8.278147389969293
relief_reassurance,letter+email,3170,2992,178,1.7045454545454544,1.1235955056179776,0.5809499489274768,1.0482649842271294
savings_financial,letter+email+text,3908,3908,0,3.812691914022518,0.0,3.812691914022518,18.401484135107474
savings_financial,letter+email,3170,3170,0,1.6719242902208202,0.0,1.6719242902208202,11.264984227129338
savings_financial,letter+text,373,348,25,4.310344827586207,4.0,0.3103448275862073,4.857908847184986
urgency_deadline,letter+email,3170,3021,149,1.7212843429328037,0.6711409395973155,1.0501434033354884,3.956466876971609
urgency_deadline,letter+email+text,3908,3875,33,3.8193548387096774,3.0303030303030303,0.7890518084066471,10.720061412487206
urgency_deadline,letter+text,373,298,75,3.3557046979865772,8.0,-4.644295302013423,5.150134048257373
