message_type,exposure_level,n_participants,n_applicants,conversion_rate,avg_exposure
informational,none,334,24,7.18562874251497,0.0
informational,low (1-5),4290,133,3.1002331002331003,2.7825174825174823
informational,medium (6-15),2849,83,2.9133029133029136,7.261144261144261
motivational_struggle,none,200,23,11.5,0.0
motivational_struggle,low (1-5),483,19,3.9337474120082816,2.062111801242236
motivational_struggle,medium (6-15),5878,166,2.824089826471589,9.884144266757401
motivational_struggle,high (16+),912,32,3.508771929824561,24.267543859649123
personalized_qualified,none,77,24,31.16883116883117,0.0
personalized_qualified,low (1-5),1935,33,1.7054263565891472,3.547803617571059
personalized_qualified,medium (6-15),3826,145,3.789858860428646,10.366701515943545
personalized_qualified,high (16+),1635,38,2.324159021406728,19.680122324159022
relief_reassurance,none,214,24,11.214953271028037,0.0
relief_reassurance,low (1-5),4094,106,2.589154860771861,1.5327308255984367
relief_reassurance,medium (6-15),2781,99,3.559870550161812,8.88745055735347
relief_reassurance,high (16+),384,11,2.864583333333333,16.9296875
savings_financial,none,47,23,48.93617021276596,0.0
savings_financial,low (1-5),363,16,4.40771349862259,2.5234159779614327
savings_financial,medium (6-15),4755,91,1.9137749737118823,11.292534174553102
savings_financial,high (16+),2308,110,4.766031195840554,23.753466204506065
urgency_deadline,none,279,30,10.75268817204301,0.0
urgency_deadline,low (1-5),3219,105,3.2618825722273996,2.9770114942528734
urgency_deadline,medium (6-15),3559,88,2.472604664231526,10.163248103399832
urgency_deadline,high (16+),416,17,4.086538461538462,25.48798076923077
