message_mix,n_applicants,n_total,conversion_rate,avg_campaigns,pct_of_total
none,22,22,100.0,0.0,0.29439314866854005
motivational_struggle+relief_reassurance+savings_financial+urgency_deadline,1,4,25.0,3.0,0.05352602703064365
informational+motivational_struggle+personalized_qualified+relief_reassurance+savings_financial,6,33,18.181818181818183,4.545454545454546,0.4415897230028101
informational+motivational_struggle+relief_reassurance,1,20,5.0,2.0,0.26763013515321826
informational+motivational_struggle+personalized_qualified+savings_financial+urgency_deadline,1,30,3.3333333333333335,13.233333333333333,0.40144520272982737
informational+motivational_struggle+personalized_qualified+relief_reassurance+savings_financial+urgency_deadline,208,7048,2.9511918274687856,24.681328036322363,94.31285962799411
personalized_qualified+savings_financial,1,142,0.7042253521126761,1.4225352112676057,1.9001739595878495
motivational_struggle+relief_reassurance+savings_financial,0,5,0.0,1.0,0.06690753378830457
personalized_qualified+relief_reassurance+savings_financial,0,10,0.0,1.8,0.13381506757660913
personalized_qualified+relief_reassurance,0,3,0.0,1.0,0.04014452027298274
motivational_struggle+savings_financial,0,6,0.0,1.0,0.08028904054596547
motivational_struggle+personalized_qualified+savings_financial,0,12,0.0,4.75,0.16057808109193095
motivational_struggle+personalized_qualified+savings_financial+urgency_deadline,0,1,0.0,11.0,0.013381506757660913
motivational_struggle+personalized_qualified+relief_reassurance+savings_financial+urgency_deadline,0,94,0.0,5.51063829787234,1.257861635220126
motivational_struggle+personalized_qualified+relief_reassurance+savings_financial,0,18,0.0,3.8333333333333335,0.24086712163789645
informational+relief_reassurance,0,2,0.0,1.0,0.026763013515321826
informational+personalized_qualified+relief_reassurance+savings_financial,0,4,0.0,2.0,0.05352602703064365
informational+motivational_struggle+relief_reassurance+savings_financial,0,1,0.0,3.0,0.013381506757660913
informational+motivational_struggle+personalized_qualified+savings_financial,0,1,0.0,4.0,0.013381506757660913
relief_reassurance+savings_financial+urgency_deadline,0,17,0.0,1.6470588235294117,0.2274856148802355
