cluster,estimated_income,household_size,total_energy_burden,living_area_sqft,house_age,campaign_count,email_count,exposure_days
0,20464.38883541867,3.919153031761309,15.16761784388641,1297.3705486044273,73.67709335899903,12.0,12.0,159.0
1,40297.18137254902,4.638480392156863,6.520042472507521,1519.0098039215686,66.70710784313725,35.997549019607845,35.997549019607845,159.0
2,26092.59259259259,4.07037037037037,13.744860904352164,1295.3555555555556,75.32222222222222,1.3333333333333333,1.3333333333333333,7.229629629629629
3,27618.869337326843,4.283788843129914,10.437629985501555,1241.9715462373642,76.62598277798577,20.0,20.0,159.0
4,7570.671378091873,3.756183745583039,46.753212249705534,1212.2155477031802,84.68197879858657,16.565371024734983,16.565371024734983,159.0
5,35920.658682634734,4.657185628742515,9.801025710483795,1544.36377245509,77.41616766467065,16.0,16.0,125.0
6,14835.526315789473,4.223684210526316,22.351399147869675,1648.092105263158,86.36842105263158,35.94736842105263,35.94736842105263,159.0
7,16538.46153846154,4.384615384615385,22.447693333333333,2753.6153846153848,344.0769230769231,8.0,8.0,106.84615384615384
8,31768.29268292683,4.329268292682927,8.705249133612549,1327.621951219512,67.2560975609756,15.195121951219512,15.195121951219512,107.85365853658537
9,11735.537190082645,4.305785123966942,39.439264525777254,1469.809917355372,89.04132231404958,15.991735537190083,15.991735537190083,124.83471074380165
